docid	audio_s	compute_s	generated	deleted
0	0.96	0.00013113021850585938		
0	1.92	0.0397183895111084		
0	2.88	0.3661231994628906	Hallo an alle.	
0	3.84	0.3528468608856201	ich	an alle.
0	4.8	0.46988964080810547	zusammen. Heute unsere Ergebnisse vorstellen.	ich
0	5.76	0.4985356330871582	werde ich unsere Forschungsarbeit vorstellen: das Lernen von	unsere Ergebnisse vorstellen.
0	6.72	0.5207986831665039	"Forschungsarbeit „Deduktives Lernen"" vorstellen."	vorstellen: das Lernen von
0	7.68	0.4453730583190918	"„Deduktives Lernen"" vorstellen."	"Forschungsarbeit „Deduktives Lernen"" vorstellen."
0	8.64	0.42912745475769043	Das Metro-Problem wird gelöst als	
0	9.600000000000001	0.6408593654632568	Das Metro-Problem wird komplexe Regionsextraktion gelöst.	"„Deduktives Lernen"" vorstellen. Das Metro-Problem wird gelöst als"
0	10.560000000000002	0.47019124031066895	als	komplexe Regionsextraktion gelöst.
0	11.520000000000003	0.39417338371276855	Regionsextraktion gelöst. Ich bin Alan von Bidens	
0	12.480000000000004	0.6458461284637451	Ich bin Alan AI-Labor von Biden, und dies ist	Regionsextraktion gelöst. Ich bin Alan von Bidens
0	13.440000000000005	0.6830050945281982	aus dem eine gemeinsame Arbeit mit	AI-Labor von Biden, und dies ist
0	14.400000000000006	0.48657989501953125	Thierry von der Universität.	
0	15.360000000000007	0.3896517753601074	Universität Texas.	Universität.
0	16.320000000000007	0.36992716789245605	Texas an Austin.	Texas.
0	17.28000000000001	0.5083775520324707	Austin und Weidou von SU.	Austin.
0	18.24000000000001	0.4672207832336426	Weiru von SUDD.	Weidou von SU.
0	19.20000000000001	0.5714550018310547	ich	
0	20.16000000000001	0.5447750091552734	Zuerst möchte über unsere Motivation sprechen.	ich
0	21.12000000000001	0.5020897388458252	Motivation für das Reasoning sprechen.	sprechen.
0	22.080000000000013	0.36614489555358887		Motivation für das Reasoning sprechen.
0	23.040000000000013	0.4087717533111572	Hier zeigen wir ein Beispiel.	
0	24.000000000000014	0.4732942581176758	Beispiel, bei dem	Beispiel.
0	24.960000000000015	0.6210875511169434	AI-Labor von Biden, und dies ist eine gemeinsame Arbeit mit Thierry von der Universität Texas an Austin und Weiru von SUDD. Zuerst möchte ich über unsere Motivation für das Reasoning sprechen. Hier zeigen wir ein Beispiel, bei dem mehrstufiges Reasoning erforderlich ist.	
0	25.920000000000016	0.5127556324005127	mehrstufiges Reasoning hilfreich ist.	AI-Labor von Biden, und dies ist eine gemeinsame Arbeit mit Thierry von der Universität Texas an Austin und Weiru von SUDD. Zuerst möchte ich über unsere Motivation für das Reasoning sprechen. Hier zeigen wir ein Beispiel, bei dem mehrstufiges Reasoning erforderlich ist.
0	26.880000000000017	0.498431921005249	Diese Abbildung stammt aus	
0	27.840000000000018	0.6146285533905029	dem PALM-Paper.	
0	28.80000000000002	0.45775437355041504	PELM-Paper, wo das	PALM-Paper.
0	29.76000000000002	0.6072256565093994	sie Prompting durchführen.	wo das
0	30.72000000000002	0.567793607711792	in dem sie Prompting Lösung des Problems durchführen.	sie Prompting durchführen.
0	31.68000000000002	0.4498460292816162	zur Lösung des Methodenproblems durchführen.	Lösung des Problems durchführen.
0	32.64000000000002	0.4688255786895752	in der Zukunft durchführen.	Methodenproblems durchführen.
0	33.60000000000002	0.6034865379333496	in wenigen kurzen Lernszenarien durchführen.	in der Zukunft durchführen.
0	34.560000000000024	0.7243051528930664	Few-Shot-Learning-Szenario durchführen.	in wenigen kurzen Lernszenarien durchführen.
0	35.520000000000024	0.8427779674530029	wenigen kurzen Lernszenarien durchführen. Auf der NetPen-Seite	Few-Shot-Learning-Szenario durchführen.
0	36.480000000000025	0.8595013618469238	Method-Problems in sehen wir	wenigen kurzen Lernszenarien durchführen. Auf der NetPen-Seite
0	37.440000000000026	0.4254417419433594	ob wir	wir
